gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
C20orf173	Q96LM9	149	Q96LM9	149	TRUE	NM_001145350.2	NP_001138822.1	ENST00000444723.3	202	FALSE
MIER1	Q8N108	512	Q8N108	512	TRUE	NM_001077700.3	NP_001071168.2	ENST00000401041.6	565	FALSE
RFESD	Q8TAC1	157	Q8TAC1	157	TRUE	NM_001131066.2	NP_001124538.1	ENST00000380005.9	210	FALSE
DACH1	Q9UI36	758	Q9UI36	758	TRUE	NM_080759.6	NP_542937.3	ENST00000613252.5	706	FALSE
HAP1	P54257	671	P54257	671	TRUE	NM_177977.3	NP_817084.2	ENST00000347901.9	619	FALSE
ASIC2	Q16515	512	Q16515	512	TRUE	NM_183377.2	NP_899233.1	ENST00000225823.7	563	FALSE
BRWD1	Q9NSI6	2320	Q9NSI6	2320	TRUE	NM_033656.4	NP_387505.1	ENST00000342449.8	2269	FALSE
C2CD5	Q86YS7	1000	Q86YS7	1000	TRUE	NM_001286176.2	NP_001273105.1	ENST00000446597.6	1051	FALSE
EXOC7	Q9UPT5	735	Q9UPT5	735	TRUE	NM_001013839.4	NP_001013861.1	ENST00000589210.6	684	FALSE
GSN	P06396	782	P06396	782	TRUE	NM_198252.3	NP_937895.1	ENST00000432226.7	731	FALSE
KCNE4	Q8WWG9	221	Q8WWG9	221	TRUE	NM_080671.4	NP_542402.4	ENST00000281830.4	170	FALSE
MFF	Q9GZY8	342	Q9GZY8	342	TRUE	NM_001277062.2	NP_001263991.1	ENST00000304593.14	291	FALSE
PGF	P49763	221	P49763	221	TRUE	NM_002632.6	NP_002623.2	ENST00000555567.6	170	FALSE
SHISA6	Q6ZSJ9	500	Q6ZSJ9	500	TRUE	NM_207386.4	NP_997269.2	ENST00000441885.8	551	FALSE
TMCO1	Q9UM00	239	Q9UM00	239	TRUE	NM_019026.6	NP_061899.3	ENST00000367881.11	188	FALSE
CCPG1	Q9ULG6	757	Q9ULG6	757	TRUE	NM_001204450.2	NP_001191379.1	ENST00000442196.8	807	FALSE
HTR3D	Q70Z44	454	Q70Z44	454	TRUE	NM_001145143.1	NP_001138615.1	ENST00000428798.7	404	FALSE
DENND4C	Q5VZ89	1909	Q5VZ89	1909	TRUE	NM_001330640.2	NP_001317569.1	ENST00000434457.7	1958	FALSE
DHRS12	A0PJE2	317	A0PJE2	317	TRUE	NM_001377533.1	NP_001364462.1	ENST00000444610.8	268	FALSE
HM13	Q8TCT9	377	Q8TCT9	377	TRUE	NM_178581.3	NP_848696.1	ENST00000398174.9	426	FALSE
ZFHX4	Q86UP3	3567	Q86UP3	3567	TRUE	NM_024721.5	NP_078997.4	ENST00000651372.2	3616	FALSE
DAZ3	Q9NR90	486	Q9NR90	486	TRUE	NM_020364.4	NP_065097.2	ENST00000382365.7	438	FALSE
GPR107	Q5VW38	600	Q5VW38	600	TRUE	NM_020960.5	NP_066011.2	ENST00000347136.11	552	FALSE
KCNAB2	Q13303	367	Q13303	367	TRUE	NM_001199862.2	NP_001186791.1	ENST00000378083.8	415	FALSE
MYOCD	Q8IZQ8	938	Q8IZQ8	938	TRUE	NM_001146312.3	NP_001139784.1	ENST00000425538.6	986	FALSE
PLPPR4	Q7Z2D5	763	Q7Z2D5	763	TRUE	NM_014839.5	NP_055654.3	ENST00000370185.9	715	FALSE
RIPK4	P57078	832	P57078	832	TRUE	NM_020639.3	NP_065690.2	ENST00000332512.8	784	FALSE
ZMYND8	Q9ULU4	1186	Q9ULU4	1186	TRUE	NM_001281775.3	NP_001268704.1	ENST00000471951.7	1234	FALSE
ZNF415	Q09FC8	603	Q09FC8	603	TRUE	NM_018355.4	NP_060825.2	ENST00000243643.9	555	FALSE
FBLN2	P98095	1184	P98095	1184	TRUE	NM_001004019.2	NP_001004019.1	ENST00000404922.8	1231	FALSE
INSC	Q1MX18	579	Q1MX18	579	TRUE	NM_001042536.3	NP_001036001.1	ENST00000379556.8	532	FALSE
IQCJ	Q1A5X6	159	Q1A5X6	159	TRUE	NM_001042706.3	NP_001036171.1	ENST00000397832.7	112	FALSE
PRKACB	P22694	351	P22694	351	TRUE	NM_182948.4	NP_891993.1	ENST00000370685.7	398	FALSE
TMEM44	Q2T9K0	475	Q2T9K0	475	TRUE	NM_001011655.3	NP_001011655.1	ENST00000347147.9	428	FALSE
CREM	Q03060	345	Q03060	345	TRUE	NM_183011.2	NP_898829.1	ENST00000685392.1	299	FALSE
DBN1	Q16643	649	Q16643	649	TRUE	NM_001363541.2	NP_001350470.2	ENST00000393565.6	695	FALSE
ECE2	P0DPD6	811	P0DPD6	811	TRUE	NM_001100121.2	NP_001093591.1	ENST00000404464.8	765	FALSE
EPS15L1	Q9UBC2	864	Q9UBC2	864	TRUE	NM_001258374.3	NP_001245303.1	ENST00000455140.7	910	FALSE
FYB1	O15117	783	O15117	783	TRUE	NM_001465.6	NP_001456.3	ENST00000512982.4	829	FALSE
IL32	P24001	234	P24001	234	TRUE	NM_001376923.1	NP_001363852.1	ENST00000525643.7	188	FALSE
KLHL5	Q96PQ7	755	Q96PQ7	755	TRUE	NM_015990.5	NP_057074.4	ENST00000504108.7	709	FALSE
RCAN2	Q14206	197	Q14206	197	TRUE	NM_001251974.2	NP_001238903.1	ENST00000371374.6	243	FALSE
SLC25A25	Q6KCM7	469	Q6KCM7	469	TRUE	NM_001330988.2	NP_001317917.1	ENST00000373069.10	515	FALSE
TEX14	Q8IWB6	1497	Q8IWB6	1497	TRUE	NM_031272.5	NP_112562.3	ENST00000349033.10	1451	FALSE
YY1AP1	Q9H869	796	Q9H869	796	TRUE	NM_139119.3	NP_620830.1	ENST00000355499.9	750	FALSE
ZNF711	Q9Y462	761	Q9Y462	761	TRUE	NM_001330574.2	NP_001317503.1	ENST00000674551.1	807	FALSE
AGAP9	Q5VTM2	703	Q5VTM2	703	TRUE	NM_001190810.1	NP_001177739.1	ENST00000452145.6	658	FALSE
CARD19	Q96LW7	228	Q96LW7	228	TRUE	NM_032310.5	NP_115686.3	ENST00000375464.7	183	FALSE
FCAMR	Q8WWV6	532	Q8WWV6	532	TRUE	NM_001170631.2	NP_001164102.1	ENST00000324852.9	577	FALSE
NOMO2	Q5JPE7	1267	Q5JPE7	1267	TRUE	NM_173614.4	NP_775885.1	ENST00000622306.5	1222	FALSE
SGSM2	O43147	1006	O43147	1006	TRUE	NM_014853.3	NP_055668.2	ENST00000268989.8	1051	FALSE
SLC4A7	Q9Y6M7	1214	Q9Y6M7	1214	TRUE	NM_001321103.2	NP_001308032.1	ENST00000454389.6	1259	FALSE
WFDC6	Q9BQY6	131	Q9BQY6	131	TRUE	NM_080827.2	NP_543017.1	ENST00000372670.8	86	FALSE
CCDC9B	Q6ZUT6	534	Q6ZUT6	534	TRUE	NM_207380.3	NP_997263.3	ENST00000397536.7	490	FALSE
CCNA1	P78396	465	P78396	465	TRUE	NM_001413923.1	NP_001400852.1	ENST00000255465.8	421	FALSE
ETS1	P14921	441	P14921	441	TRUE	NM_001143820.2	NP_001137292.1	ENST00000392668.8	485	FALSE
ITGA7	Q13683	1181	Q13683	1181	TRUE	NM_002206.3	NP_002197.2	ENST00000257879.11	1137	FALSE
OSGIN2	Q9Y236	505	Q9Y236	505	TRUE	NM_001126111.3	NP_001119583.1	ENST00000451899.7	549	FALSE
OVCH1	Q7RTY7	1134	Q7RTY7	1134	TRUE	NM_001353179.2	NP_001340108.1	ENST00000537054.2	1090	FALSE
PKP2	Q99959	881	Q99959	881	TRUE	NM_001005242.3	NP_001005242.2	ENST00000340811.9	837	FALSE
SNPH	O15079	494	O15079	494	TRUE	NM_001318234.2	NP_001305163.1	ENST00000381867.6	538	FALSE
UPK3B	Q9BT76	320	Q9BT76	320	TRUE	NM_001347684.2	NP_001334613.1	ENST00000334348.8	276	FALSE
ASCC1	Q8N9N2	400	Q8N9N2	400	TRUE	NM_001198800.3	NP_001185729.1	ENST00000672957.1	357	FALSE
CALML4	Q96GE6	196	Q96GE6	196	TRUE	NM_033429.3	NP_219501.3	ENST00000467889.3	153	FALSE
MYCBPAP	Q8TBZ2	984	Q8TBZ2	984	TRUE	NM_032133.6	NP_115509.5	ENST00000323776.11	941	FALSE
NIN	Q8N4C6	2090	Q8N4C6	2090	TRUE	NM_020921.4	NP_065972.4	ENST00000530997.7	2133	FALSE
PLA2G2F	Q9BZM2	168	Q9BZM2	168	TRUE	NM_022819.4	NP_073730.3	ENST00000375102.4	211	FALSE
SCARB1	Q8WTV0	552	Q8WTV0	552	TRUE	NM_005505.5	NP_005496.4	ENST00000261693.11	509	FALSE
TMEM239	Q8WW34	195	Q8WW34	195	TRUE	NM_001167670.3	NP_001161142.1	ENST00000380585.2	152	FALSE
TMEM239	Q8WW34	195	Q8WW34	195	TRUE	NM_001167670.3	NP_001161142.1	ENST00000380585.2	152	FALSE
XPNPEP1	Q9NQW7	623	Q9NQW7	623	TRUE	NM_020383.4	NP_065116.3	ENST00000502935.6	666	FALSE
ANKUB1	A6NFN9	502	A6NFN9	502	TRUE	NM_001144960.3	NP_001138432.1	ENST00000446160.7	544	FALSE
CIT	O14578	2027	O14578	2027	TRUE	NM_001206999.2	NP_001193928.1	ENST00000392521.7	2069	FALSE
IGF1	P05019	195	P05019	195	TRUE	NM_000618.5	NP_000609.1	ENST00000337514.11	153	FALSE
MYH7B	A7E2Y1	1983	A7E2Y1	1983	TRUE	NM_020884.7	NP_065935.4	ENST00000262873.13	1941	FALSE
RESP18	Q5W5W9	228	Q5W5W9	228	TRUE	NM_001441699.1	NP_001428628.1	ENST00000333527.7	186	FALSE
ZNF41	P51814	821	P51814	821	TRUE	NM_001324144.2	NP_001311073.1	ENST00000684689.1	779	FALSE
ACSL4	O60488	711	O60488	711	TRUE	NM_001318510.2	NP_001305439.1	ENST00000672401.1	670	FALSE
C16orf89	Q6UX73	402	Q6UX73	402	TRUE	NM_001098514.3	NP_001091984.2	ENST00000472572.8	361	FALSE
ITCH	Q96J02	903	Q96J02	903	TRUE	NM_031483.7	NP_113671.3	ENST00000374864.10	862	FALSE
KMT5A	Q9NQR1	393	Q9NQR1	393	TRUE	NM_020382.7	NP_065115.3	ENST00000402868.8	352	FALSE
MAP7D2	Q96T17	732	Q96T17	732	TRUE	NM_001168465.2	NP_001161937.1	ENST00000379643.10	773	FALSE
MATN4	O95460	622	O95460	622	TRUE	NM_001393530.1	NP_001380459.1	ENST00000372756.6	581	FALSE
MYH14	Q7Z406	1995	Q7Z406	1995	TRUE	NM_001145809.2	NP_001139281.1	ENST00000642316.2	2036	FALSE
RHOT1	Q8IXI2	618	Q8IXI2	618	TRUE	NM_001033566.3	NP_001028738.1	ENST00000545287.7	659	FALSE
ZNF772	Q68DY9	489	Q68DY9	489	TRUE	NM_001144068.2	NP_001137540.1	ENST00000356584.8	448	FALSE
ADARB1	P78563	741	P78563	741	TRUE	NM_001112.4	NP_001103.1	ENST00000348831.9	701	FALSE
ARHGEF11	O15085	1522	O15085	1522	TRUE	NM_198236.3	NP_937879.1	ENST00000368194.8	1562	FALSE
HS6ST2	Q96MM7	605	Q96MM7	605	TRUE	NM_001394073.1	NP_001381002.1	ENST00000370833.7	645	FALSE
MAJIN	Q3KP22	176	Q3KP22	176	TRUE	NM_001037225.3	NP_001032302.1	ENST00000301896.6	216	FALSE
PRICKLE4	Q2TBC4	344	Q2TBC4	344	TRUE	NM_013397.6	NP_037529.3	ENST00000458694.6	384	FALSE
ZNF222	Q9UK12	451	Q9UK12	451	TRUE	NM_001129996.2	NP_001123468.1	ENST00000391960.4	491	FALSE
ZNF565	Q8N9K5	539	Q8N9K5	539	TRUE	NM_152477.5	NP_689690.3	ENST00000304116.10	499	FALSE
ZNF623	O75123	536	O75123	536	TRUE	NM_001261843.2	NP_001248772.1	ENST00000526926.6	496	FALSE
DYSF	O75923	2080	O75923	2080	TRUE	NM_001130987.2	NP_001124459.1	ENST00000410020.8	2119	FALSE
HDAC7	Q8WUI4	952	Q8WUI4	952	TRUE	NM_015401.5	NP_056216.2	ENST00000080059.12	991	FALSE
KCTD11	Q693B1	232	Q693B1	232	TRUE	NM_001363642.1	NP_001350571.1	ENST00000333751.8	271	FALSE
MORF4L1	Q9UBU8	362	Q9UBU8	362	TRUE	NM_006791.4	NP_006782.1	ENST00000426013.7	323	FALSE
PACRG	Q96M98	296	Q96M98	296	TRUE	NM_001080379.2	NP_001073848.1	ENST00000366888.7	257	FALSE
SLC17A2	O00624	439	O00624	439	TRUE	NM_001286123.3	NP_001273052.1	ENST00000377850.8	478	FALSE
U2AF1L4	Q8WU68	220	Q8WU68	220	TRUE	NM_001040425.3	NP_001035515.1	ENST00000378975.8	181	FALSE
WDR17	Q8IZU2	1322	Q8IZU2	1322	TRUE	NM_181265.4	NP_851782.3	ENST00000508596.6	1283	FALSE
ZBBX	A8MT70	800	A8MT70	800	TRUE	NM_001199201.2	NP_001186130.1	ENST00000675490.1	839	FALSE
ACAN	P16112	2530	P16112	2530	TRUE	NM_001369268.1	NP_001356197.1	ENST00000560601.4	2568	FALSE
CDH24	Q86UP0	819	Q86UP0	819	TRUE	NM_144985.4	NP_659422.2	ENST00000487137.7	781	FALSE
KIF2A	O00139	706	O00139	706	TRUE	NM_001098511.3	NP_001091981.1	ENST00000407818.8	744	FALSE
LCLAT1	Q6UWP7	414	Q6UWP7	414	TRUE	NM_001002257.3	NP_001002257.1	ENST00000379509.8	376	FALSE
SERINC5	Q86VE9	423	Q86VE9	423	TRUE	NM_001174072.3	NP_001167543.1	ENST00000507668.7	461	FALSE
YPEL3	P61236	119	P61236	119	TRUE	NM_031477.5	NP_113665.3	ENST00000398841.6	157	FALSE
ACACA	Q13085	2346	Q13085	2346	TRUE	NM_198834.3	NP_942131.1	ENST00000616317.5	2383	FALSE
ACBD4	Q8NC06	268	Q8NC06	268	TRUE	NM_001135705.3	NP_001129177.1	ENST00000321854.13	305	FALSE
ADAM19	Q9H013	955	Q9H013	955	TRUE	NM_033274.5	NP_150377.1	ENST00000257527.9	918	FALSE
DACT1	Q9NYF0	836	Q9NYF0	836	TRUE	NM_001079520.2	NP_001072988.1	ENST00000395153.8	799	FALSE
LMLN	Q96KR4	647	Q96KR4	647	TRUE	NM_001136049.3	NP_001129521.3	ENST00000420910.7	684	FALSE
NSUN5	Q96P11	429	Q96P11	429	TRUE	NM_148956.4	NP_683759.1	ENST00000438747.7	466	FALSE
NT5DC2	Q9H857	520	Q9H857	520	TRUE	NM_001134231.2	NP_001127703.1	ENST00000422318.7	557	FALSE
PEMT	Q9UBM1	199	Q9UBM1	199	TRUE	NM_148172.3	NP_680477.1	ENST00000255389.10	236	FALSE
STAG2	Q8N3U4	1231	Q8N3U4	1231	TRUE	NM_001042750.2	NP_001036215.1	ENST00000371145.8	1268	FALSE
AGAP3	Q96P47	875	Q96P47	875	TRUE	NM_031946.7	NP_114152.3	ENST00000397238.7	911	FALSE
ATP2B4	P23634	1241	P23634	1241	TRUE	NM_001684.5	NP_001675.3	ENST00000357681.10	1205	FALSE
CFAP77	Q6ZQR2	320	Q6ZQR2	320	TRUE	NM_001282957.2	NP_001269886.1	ENST00000393216.3	284	FALSE
EP400	Q96L91	3159	Q96L91	3159	TRUE	NM_015409.5	NP_056224.3	ENST00000389561.7	3123	FALSE
LPIN1	Q14693	890	Q14693	890	TRUE	NM_001349206.2	NP_001336135.1	ENST00000674199.1	926	FALSE
PHF8	Q9UPP1	1060	Q9UPP1	1060	TRUE	NM_015107.3	NP_055922.1	ENST00000338154.11	1024	FALSE
SLC47A2	Q86VL8	602	Q86VL8	602	TRUE	NM_001099646.3	NP_001093116.1	ENST00000433844.4	566	FALSE
TTC39A	Q5SRH9	613	Q5SRH9	613	TRUE	NM_001297663.2	NP_001284592.1	ENST00000680483.1	577	FALSE
ZFP64	Q9NTW7	645	Q9NTW7	645	TRUE	NM_018197.3	NP_060667.2	ENST00000216923.5	681	FALSE
BAIAP3	O94812	1187	O94812	1187	TRUE	NM_001199097.2	NP_001186026.1	ENST00000426824.8	1152	FALSE
CD163	Q86VB7	1156	Q86VB7	1156	TRUE	NM_203416.4	NP_981961.2	ENST00000432237.3	1121	FALSE
CEP170B	Q9Y4F5	1589	Q9Y4F5	1589	TRUE	NM_001112726.3	NP_001106197.1	ENST00000414716.8	1554	FALSE
KIR2DL4	Q99706	377	Q99706	377	TRUE	NM_001080770.2	NP_001074239.1	ENST00000345540.10	342	FALSE
LRCH1	Q9Y2L9	728	Q9Y2L9	728	TRUE	NM_001164211.2	NP_001157683.2	ENST00000389797.8	763	FALSE
PARP9	Q8IXQ6	854	Q8IXQ6	854	TRUE	NM_001146105.2	NP_001139577.1	ENST00000682323.1	819	FALSE
PTPA	Q15257	358	Q15257	358	TRUE	NM_178000.3	NP_821067.1	ENST00000393370.7	323	FALSE
ABLIM2	Q6H8Q1	611	Q6H8Q1	611	TRUE	NM_001130083.2	NP_001123555.1	ENST00000447017.7	645	FALSE
ARL13A	Q5H913	290	Q5H913	290	TRUE	NM_001162491.2	NP_001155963.1	ENST00000450049.7	256	FALSE
FAM86B1	Q8N7N1	330	Q8N7N1	330	TRUE	NM_001083537.4	NP_001077006.1	ENST00000448228.7	296	FALSE
KLF4	O43474	513	O43474	513	TRUE	NM_004235.6	NP_004226.3	ENST00000374672.5	479	FALSE
MXRA7	P84157	204	P84157	204	TRUE	NM_198530.4	NP_940932.2	ENST00000449428.7	170	FALSE
PHTF2	Q8N3S3	785	Q8N3S3	785	TRUE	NM_001395272.1	NP_001382201.1	ENST00000422959.8	751	FALSE
RAD51B	O15315	384	O15315	384	TRUE	NM_133510.4	NP_598194.1	ENST00000471583.6	350	FALSE
SELENON	Q9NZV5	590	Q9NZV5	590	TRUE	NM_206926.2	NP_996809.1	ENST00000374315.1	556	FALSE
SGO1	Q5FBB7	561	Q5FBB7	561	TRUE	NM_001199251.3	NP_001186180.1	ENST00000412997.6	527	FALSE
ACOXL	Q9NUZ1	547	Q9NUZ1	547	TRUE	NM_001142807.4	NP_001136279.1	ENST00000439055.6	580	FALSE
ATG13	O75143	517	O75143	517	TRUE	NM_001346311.2	NP_001333240.1	ENST00000683050.1	550	FALSE
DAB1	O75553	588	O75553	588	TRUE	NM_001365792.1	NP_001352721.1	ENST00000371236.7	555	FALSE
GPHN	Q9NQX3	736	Q9NQX3	736	TRUE	NM_020806.5	NP_065857.1	ENST00000478722.6	769	FALSE
KAT5	Q92993	513	Q92993	513	TRUE	NM_182710.3	NP_874369.1	ENST00000341318.9	546	FALSE
MAP3K12	Q12852	859	Q12852	859	TRUE	NM_001193511.2	NP_001180440.1	ENST00000547488.6	892	FALSE
NEU3	Q9UQ49	428	Q9UQ49	428	TRUE	NM_006656.6	NP_006647.3	ENST00000294064.9	461	FALSE
PID1	Q7Z2X4	250	Q7Z2X4	250	TRUE	NM_001100818.2	NP_001094288.1	ENST00000392055.8	217	FALSE
BRICD5	Q6PL45	260	Q6PL45	260	TRUE	NM_182563.4	NP_872369.2	ENST00000328540.8	228	FALSE
CGB1	A6NKQ9	187	A6NKQ9	187	TRUE	NM_033377.2	NP_203695.2	ENST00000301407.8	155	FALSE
CMPK1	P30085	196	P30085	196	TRUE	NM_016308.3	NP_057392.1	ENST00000371873.10	228	FALSE
FAT3	Q8TDW7	4557	Q8TDW7	4557	TRUE	NM_001367949.2	NP_001354878.1	ENST00000525166.6	4589	FALSE
IL31RA	Q8NI17	732	Q8NI17	732	TRUE	NM_139017.7	NP_620586.3	ENST00000652347.2	764	FALSE
KLK11	Q9UBX7	282	Q9UBX7	282	TRUE	NM_001136032.3	NP_001129504.1	ENST00000453757.8	250	FALSE
OAS2	P29728	719	P29728	719	TRUE	NM_002535.3	NP_002526.2	ENST00000392583.7	687	FALSE
PDE4C	Q08493	712	Q08493	712	TRUE	NM_001098818.4	NP_001092288.1	ENST00000262805.17	680	FALSE
RASSF6	Q6ZTQ3	369	Q6ZTQ3	369	TRUE	NM_177532.5	NP_803876.1	ENST00000307439.10	337	FALSE
REL	Q04864	619	Q04864	619	TRUE	NM_001291746.2	NP_001278675.1	ENST00000394479.4	587	FALSE
SIN3B	O75182	1162	O75182	1162	TRUE	NM_001297595.2	NP_001284524.1	ENST00000248054.10	1130	FALSE
SUGT1	Q9Y2Z0	365	Q9Y2Z0	365	TRUE	NM_006704.5	NP_006695.1	ENST00000310528.9	333	FALSE
APOLD1	Q96LR9	279	Q96LR9	279	TRUE	NM_030817.3	NP_110444.3	ENST00000356591.5	248	FALSE
ARHGAP39	Q9C0H5	1083	Q9C0H5	1083	TRUE	NM_025251.3	NP_079527.1	ENST00000377307.7	1114	FALSE
ARHGAP8	P85298	464	P85298	464	TRUE	NM_181335.3	NP_851852.2	ENST00000356099.11	433	FALSE
BICD2	Q8TD16	824	Q8TD16	824	TRUE	NM_001003800.2	NP_001003800.1	ENST00000356884.11	855	FALSE
CADM2	Q8N3J6	435	Q8N3J6	435	TRUE	NM_001167675.2	NP_001161147.1	ENST00000383699.8	404	FALSE
COG5	Q9UP83	860	Q9UP83	860	TRUE	NM_006348.5	NP_006339.4	ENST00000297135.9	829	FALSE
DLL3	Q9NYJ7	618	Q9NYJ7	618	TRUE	NM_203486.3	NP_982353.1	ENST00000356433.10	587	FALSE
GYG2	O15488	501	O15488	501	TRUE	NM_001079855.2	NP_001073324.1	ENST00000398806.8	470	FALSE
MOB2	Q70IA6	237	Q70IA6	237	TRUE	NM_001172223.3	NP_001165694.1	ENST00000329957.7	268	FALSE
MYH10	P35580	1976	P35580	1976	TRUE	NM_001256012.3	NP_001242941.1	ENST00000360416.8	2007	FALSE
TH	P07101	528	P07101	528	TRUE	NM_000360.4	NP_000351.2	ENST00000352909.8	497	FALSE
USP33	Q8TEY7	942	Q8TEY7	942	TRUE	NM_201624.3	NP_963918.1	ENST00000370794.7	911	FALSE
ANKRD28	O15084	1053	O15084	1053	TRUE	NM_001349278.2	NP_001336207.1	ENST00000683139.1	1083	FALSE
BAG6	P46379	1132	P46379	1132	TRUE	NM_001387994.1	NP_001374923.1	ENST00000676615.2	1162	FALSE
CLPB	Q9H078	707	Q9H078	707	TRUE	NM_001258392.3	NP_001245321.1	ENST00000538039.6	677	FALSE
CLTA	P09496	248	P09496	248	TRUE	NM_001833.4	NP_001824.1	ENST00000345519.10	218	FALSE
COA6	Q5JTJ3	125	Q5JTJ3	125	TRUE	NM_001206641.3	NP_001193570.2	ENST00000366615.10	155	FALSE
CTAG2	O75638	210	O75638	210	TRUE	NM_172377.5	NP_758965.2	ENST00000369585.4	180	FALSE
GFRA4	Q9GZZ7	299	Q9GZZ7	299	TRUE	NM_022139.4	NP_071422.1	ENST00000290417.7	269	FALSE
HMGCLL1	Q8TB92	370	Q8TB92	370	TRUE	NM_001042406.2	NP_001035865.1	ENST00000274901.9	340	FALSE
LIAT1	Q6ZQX7	453	Q6ZQX7	453	TRUE	NM_001013672.5	NP_001013694.4	ENST00000360127.7	423	FALSE
MAF	O75444	373	O75444	373	TRUE	NM_005360.5	NP_005351.2	ENST00000326043.5	403	FALSE
MYBPC1	Q00872	1141	Q00872	1141	TRUE	NM_002465.4	NP_002456.2	ENST00000361466.7	1171	FALSE
NKX2-1	P43699	371	P43699	371	TRUE	NM_001079668.3	NP_001073136.1	ENST00000354822.7	401	FALSE
NRXN1	P58400	472	Q9ULB1	1477	FALSE	NM_001330078.2	NP_001317007.1	ENST00000401669.7	1507	FALSE
PSRC1	Q6PGN9	363	Q6PGN9	363	TRUE	NM_001032291.3	NP_001027462.1	ENST00000369909.7	333	FALSE
SAPCD1	Q5SSQ6	148	Q5SSQ6	148	TRUE	NM_001039651.2	NP_001034740.1	ENST00000415669.4	178	FALSE
SPAG11B	Q08648	103	Q08648	103	TRUE	NM_058201.4	NP_478108.2	ENST00000398462.7	133	FALSE
TAFAZZIN	Q16635	262	Q16635	262	TRUE	NM_000116.5	NP_000107.1	ENST00000601016.6	292	FALSE
TRIM39	Q9HCM9	518	Q9HCM9	518	TRUE	NM_001369521.2	NP_001356450.1	ENST00000396551.9	488	FALSE
ADGRG6	Q86SQ4	1221	Q86SQ4	1221	TRUE	NM_198569.3	NP_940971.2	ENST00000367609.8	1250	FALSE
CADM1	Q9BY67	442	Q9BY67	442	TRUE	NM_001301043.2	NP_001287972.1	ENST00000331581.11	471	FALSE
DPP9	Q86TI2	863	Q86TI2	863	TRUE	NM_139159.5	NP_631898.3	ENST00000262960.14	892	FALSE
ENOX2	Q16206	610	Q16206	610	TRUE	NM_006375.4	NP_006366.2	ENST00000394363.6	581	FALSE
HSD11B1L	Q7Z5J1	315	Q7Z5J1	315	TRUE	NM_198706.3	NP_941995.1	ENST00000339423.7	286	FALSE
LAT	O43561	262	O43561	262	TRUE	NM_001014987.2	NP_001014987.1	ENST00000395456.7	233	FALSE
LHX6	Q9UPM6	363	Q9UPM6	363	TRUE	NM_014368.5	NP_055183.2	ENST00000394319.9	392	FALSE
MAGI1	Q96QZ7	1491	Q96QZ7	1491	TRUE	NM_001033057.2	NP_001028229.1	ENST00000402939.7	1462	FALSE
MASP1	P48740	699	P48740	699	TRUE	NM_139125.4	NP_624302.1	ENST00000296280.11	728	FALSE
MEIOB	Q8N635	442	Q8N635	442	TRUE	NM_001163560.3	NP_001157032.1	ENST00000325962.9	471	FALSE
PRPSAP1	Q14558	356	Q14558	356	TRUE	NM_002766.3	NP_002757.2	ENST00000446526.8	385	FALSE
RHBDF2	Q6PJF5	856	Q6PJF5	856	TRUE	NM_001005498.4	NP_001005498.2	ENST00000675367.1	827	FALSE
AKR1B15	C9JRZ8	316	C9JRZ8	316	TRUE	NM_001080538.3	NP_001074007.2	ENST00000457545.7	344	FALSE
ASMT	P46597	345	P46597	345	TRUE	NM_001171038.2	NP_001164509.1	ENST00000381241.9	373	FALSE
FAM131B	Q86XD5	332	Q86XD5	332	TRUE	NM_001031690.3	NP_001026860.2	ENST00000443739.7	360	FALSE
GOLGA8A	A7E2F4	631	A7E2F4	631	TRUE	NM_181077.5	NP_851422.1	ENST00000359187.5	603	FALSE
GPR17	Q13304	367	Q13304	367	TRUE	NM_001161417.2	NP_001154889.1	ENST00000486700.2	339	FALSE
HGSNAT	Q68CP4	663	Q68CP4	663	TRUE	NM_152419.3	NP_689632.2	ENST00000379644.9	635	FALSE
NEK1	Q96PY6	1258	Q96PY6	1258	TRUE	NM_001199397.3	NP_001186326.1	ENST00000507142.6	1286	FALSE
NUTM1	Q86Y26	1132	Q86Y26	1132	TRUE	NM_001284292.2	NP_001271221.2	ENST00000537011.6	1160	FALSE
PTBP3	O95758	552	O95758	552	TRUE	NM_001163788.4	NP_001157260.1	ENST00000374257.6	524	FALSE
RRAGB	Q5VZM2	374	Q5VZM2	374	TRUE	NM_006064.5	NP_006055.3	ENST00000374941.9	346	FALSE
TRIM6	Q9C030	488	Q9C030	488	TRUE	NM_001003818.3	NP_001003818.1	ENST00000380097.8	516	FALSE
ABI1	Q8IZP0	508	Q8IZP0	508	TRUE	NM_001012750.3	NP_001012768.1	ENST00000376140.4	481	FALSE
CSPG5	O95196	566	O95196	566	TRUE	NM_006574.4	NP_006565.2	ENST00000264723.9	539	FALSE
DTNA	Q9Y4J8	743	Q9Y4J8	743	TRUE	NM_001386795.1	NP_001373724.1	ENST00000444659.6	770	FALSE
FHL1	Q13642	323	Q13642	323	TRUE	NM_001159699.2	NP_001153171.1	ENST00000370683.6	296	FALSE
IKBIP	Q70UQ0	350	Q70UQ0	350	TRUE	NM_153687.4	NP_710154.1	ENST00000299157.5	377	FALSE
NOD2	Q9HC29	1040	Q9HC29	1040	TRUE	NM_001370466.1	NP_001357395.1	ENST00000647318.2	1013	FALSE
